competence_id,referentiel_id,intitule_ref,type,niveau,date_echeance,epreuve,section,code_competence,competence,famille,actif
COMP_2226C08F,RNCP41998,BTM Pâtissier-glacier-chocolatier-confiseur-traiteur,BTM,4,31/08/2029,BC01,Organiser la production du laboratoire,RNCP41998_BC01_01,Planifier et ordonnancer la production du laboratoire,Organisation,1
COMP_5D7353B8,RNCP41998,BTM Pâtissier-glacier-chocolatier-confiseur-traiteur,BTM,4,31/08/2029,BC01,Organiser la production du laboratoire,RNCP41998_BC01_02,Gérer les approvisionnements et les stocks,Organisation,1
COMP_6070DD8C,RNCP41998,BTM Pâtissier-glacier-chocolatier-confiseur-traiteur,BTM,4,31/08/2029,BC01,Organiser la production du laboratoire,RNCP41998_BC01_03,Coordonner les activités de production,Organisation,1
COMP_E05F38CF,RNCP41998,BTM Pâtissier-glacier-chocolatier-confiseur-traiteur,BTM,4,31/08/2029,BC01,Organiser la production du laboratoire,RNCP41998_BC01_04,Contrôler la qualité et la conformité des productions,Gestion,1
COMP_2D2ED20D,RNCP41998,BTM Pâtissier-glacier-chocolatier-confiseur-traiteur,BTM,4,31/08/2029,BC02,Gérer les coûts de production-fabrication,RNCP41998_BC02_01,Calculer et analyser les coûts de revient,Gestion,1
COMP_A117CBE8,RNCP41998,BTM Pâtissier-glacier-chocolatier-confiseur-traiteur,BTM,4,31/08/2029,BC02,Gérer les coûts de production-fabrication,RNCP41998_BC02_02,Établir des fiches techniques et calculer les rendements,Gestion,1
COMP_5B9E856F,RNCP41998,BTM Pâtissier-glacier-chocolatier-confiseur-traiteur,BTM,4,31/08/2029,BC02,Gérer les coûts de production-fabrication,RNCP41998_BC02_03,Optimiser les coûts en limitant les pertes,Gestion,1
COMP_621DB56C,RNCP41998,BTM Pâtissier-glacier-chocolatier-confiseur-traiteur,BTM,4,31/08/2029,BC02,Gérer les coûts de production-fabrication,RNCP41998_BC02_04,Suivre les indicateurs économiques de la production,Gestion,1
COMP_A251A86A,RNCP41998,BTM Pâtissier-glacier-chocolatier-confiseur-traiteur,BTM,4,31/08/2029,BC03,Animer et gérer une équipe au quotidien,RNCP41998_BC03_01,Encadrer et animer une équipe de production,Management,1
COMP_68F8547E,RNCP41998,BTM Pâtissier-glacier-chocolatier-confiseur-traiteur,BTM,4,31/08/2029,BC03,Animer et gérer une équipe au quotidien,RNCP41998_BC03_02,Former et accompagner les membres de l'équipe,Management,1
COMP_1333120E,RNCP41998,BTM Pâtissier-glacier-chocolatier-confiseur-traiteur,BTM,4,31/08/2029,BC03,Animer et gérer une équipe au quotidien,RNCP41998_BC03_03,Gérer les plannings et les affectations de poste,Management,1
COMP_32CD426E,RNCP41998,BTM Pâtissier-glacier-chocolatier-confiseur-traiteur,BTM,4,31/08/2029,BC03,Animer et gérer une équipe au quotidien,RNCP41998_BC03_04,Communiquer et maintenir la motivation de l'équipe,Management,1
COMP_2E37E9F0,RNCP41998,BTM Pâtissier-glacier-chocolatier-confiseur-traiteur,BTM,4,31/08/2029,BC04,"Préparer et confectionner des produits de pâtisserie-viennoiserie, confiserie-chocolaterie, glacerie et traiteur",RNCP41998_BC04_01,Maîtriser les techniques avancées de pâtisserie et viennoiserie,Pâtisserie,1
COMP_A7BBA580,RNCP41998,BTM Pâtissier-glacier-chocolatier-confiseur-traiteur,BTM,4,31/08/2029,BC04,"Préparer et confectionner des produits de pâtisserie-viennoiserie, confiserie-chocolaterie, glacerie et traiteur",RNCP41998_BC04_02,Réaliser des produits de chocolaterie et confiserie de niveau expert,Chocolaterie,1
COMP_6533BDBD,RNCP41998,BTM Pâtissier-glacier-chocolatier-confiseur-traiteur,BTM,4,31/08/2029,BC04,"Préparer et confectionner des produits de pâtisserie-viennoiserie, confiserie-chocolaterie, glacerie et traiteur",RNCP41998_BC04_03,"Produire des glaces, sorbets et entremets glacés d'exception",Glacerie,1
COMP_BF59EEA6,RNCP41998,BTM Pâtissier-glacier-chocolatier-confiseur-traiteur,BTM,4,31/08/2029,BC04,"Préparer et confectionner des produits de pâtisserie-viennoiserie, confiserie-chocolaterie, glacerie et traiteur",RNCP41998_BC04_04,Élaborer des produits traiteur salés et sucrés,Traiteur,1
COMP_93AFDE89,RNCP41998,BTM Pâtissier-glacier-chocolatier-confiseur-traiteur,BTM,4,31/08/2029,BC04,"Préparer et confectionner des produits de pâtisserie-viennoiserie, confiserie-chocolaterie, glacerie et traiteur",RNCP41998_BC04_05,Créer et innover dans les fabrications,Innovation,1
COMP_AA04F7ED,RNCP41998,BTM Pâtissier-glacier-chocolatier-confiseur-traiteur,BTM,4,31/08/2029,BC04,"Préparer et confectionner des produits de pâtisserie-viennoiserie, confiserie-chocolaterie, glacerie et traiteur",RNCP41998_BC04_06,Maîtriser les techniques de présentation et décoration de haut niveau,Technique,1
COMP_FC4D6E49,RNCP41998,BTM Pâtissier-glacier-chocolatier-confiseur-traiteur,BTM,4,31/08/2029,BC05,Développer l'innovation et la commercialisation des productions,RNCP41998_BC05_01,Concevoir de nouvelles recettes et produits,Innovation,1
COMP_269C2CC5,RNCP41998,BTM Pâtissier-glacier-chocolatier-confiseur-traiteur,BTM,4,31/08/2029,BC05,Développer l'innovation et la commercialisation des productions,RNCP41998_BC05_02,Développer et mettre en œuvre la stratégie commerciale du laboratoire,Commercial,1
COMP_D36C1258,RNCP41998,BTM Pâtissier-glacier-chocolatier-confiseur-traiteur,BTM,4,31/08/2029,BC05,Développer l'innovation et la commercialisation des productions,RNCP41998_BC05_03,Valoriser et présenter les productions auprès de la clientèle,Communication,1
COMP_6EFCB159,RNCP41998,BTM Pâtissier-glacier-chocolatier-confiseur-traiteur,BTM,4,31/08/2029,BC05,Développer l'innovation et la commercialisation des productions,RNCP41998_BC05_04,Assurer une veille professionnelle et technique,Veille,1
