theme,code,competence,mots_cles,resultats_attendus,recettes_associees
Thèmes CAP,CAP,Compléments indispensables CAP,Compétences = Mots clés,Résultats attendus,"Application de la compétence avec quelles recettes ? 
pour le programme prévu"
Gérer la réception des produits,C1.1,Contrôler la livraison,"Les outils de contrôle de température et de poids
Les points de vigilance relatifs à la qualité des produits
Les documents commerciaux liés à la commande et à la livraison
L’étiquetage
Les fournisseurs","Vérification sous l’autorité d’un responsable :
- adéquation qualité et quantité entre le
produit commandé et le produit livré
- température des marchandises
- durée de conservation
Détection des anomalies et signalement à la
hiérarchie
Application des règles d’hygiène et de sécurité",
Gérer la réception des produits,C1.2,"Retirer l’emballage du transport, déconditionner les produits si nécessaire et traiter les déchets","Les types d’emballage et de conditionnement
La réglementation en vigueur pour le tri sélectif des emballages
La réglementation en vigueur pour la traçabilité des produits","Respect des protocoles établis par le fabricant
et/ou l’entreprise
Collecte des informations nécessaires à la
traçabilité
Gestion du tri sélectif des emballages",
Effectuer le suivi des produits stockés,C1.3,Ranger les produits dans les lieux adaptés et sur les supports appropriés,"Les différentes catégories de produits : - secs - réfrigérés - congelés
Les lieux de stockage
Le respect de la chaîne du froid","Stockage adapté aux produits dans le respect
des consignes
Rotation appropriée des stocks
Détection des anomalies et signalement à la
hiérarchie
Application des règles d’hygiène et de sécurité",
Effectuer le suivi des produits stockés,C1.4,Rendre compte de l’état des stocks,Les stocks minimum et d’alerte,"Vigilance sur l’état des stocks pour éviter les
ruptures et transmission de l’information ",
Organiser ses tâches,C2.1,Se situer en tant que professionnel dans l’organisation,"Les postes de travail au sein de l’atelier de production
La hiérarchie selon le type d’organisation","Identification des liens fonctionnels et
hiérarchiques au sein de l’organisation",
Organiser ses tâches,C2.2,Analyser la fiche technique et utiliser son carnet de recettes personnel,"La fiche technique
Le carnet de recettes","Identification des informations nécessaires à la
production
Respect de l’enchainement des différentes
phases",
Préparer le poste de travail,C2.3,Sélectionner le matériel en fonction d’une production à réaliser,Les matériels et ustensiles utilisés en pâtisserie,"Pertinence du choix du matériel
Identification et respect des dispositifs de
sécurité",
Préparer le poste de travail,C2.4,Rassembler les produits nécessaires à la réalisation d’une production,"L’étiquette
La durée et les conditions de conservation des produits entamés 
L’étiquetage des produits entamés","Conformité des produits rassemblés
Gestion des produits entamés conforme à la
réglementation",
Préparer le poste de travail,C2.5,Quantifier et effectuer les pesées,"Les unités de mesure de masse et de volume
Les matériels de pesée",Exactitude des quantités,
Nettoyer et désinfecter l’environne-ment de travail,C2.6,"Maintenir les locaux et les matériels en bon état tout au long des activités : ranger, net-toyer, désinfecter","Le guide des bonnes pratiques d’hygiène
Les risques de contamination
Les produits de nettoyage et de désinfection","Vérification de l’état des locaux et matériels tout
au long de l’activité
Respect des procédures et protocoles liés au
guide de bonnes pratiques d’hygiène",
Nettoyer et désinfecter l’environne-ment de travail,C2.7,Agir en respectant l’environnement,Les pratiques professionnelles respectueuses de l’environnement,"Utilisation raisonnée des produits de nettoyage
et de désinfection, des fluides (eau) et des
énergies (gaz et électricité)",
Gérer les produits en cours d’élaboration et finis,C2.8,Protéger et/ou conditionner les produits en cours d’élaboration et effectuer leur traçabilité,"Les différents types d’emballage
L’étiquetage des produits en cours d’élaboration et finis","Sélection de la protection et/ou du
conditionnement adapté(s)
Conformité de l’étiquetage",
Gérer les produits en cours d’élaboration et finis,C2.9,Conserver les produits en cours d’élaboration ou finis dans les enceintes appropriées,Les températures de conservation des produits en cours d’élaboration et des produits finis,,
Crèmes et appareils à crème prise,C3.1.1,Elaborer une crème par cuisson avec amidon,"Crème pâtissière, appareil à flan","Respect du procédé d’élaboration
Conformité de la texture (lisse, onctueuse) et
du parfum
Homogénéité du mélange",A2
Crèmes et appareils à crème prise,C3.1.2,Elaborer une crème par cuisson sans amidon,"Crème orange, crème citron","Respect du procédé d’élaboration
Conformité de la texture (lisse, onctueuse) et
du parfum
Homogénéité du mélange",A6
